"long","lat","order","piece","id","group"
126.885631547958,37.5469333331069,16,"1","4562","4562.1"
126.885018977444,37.547136096054,17,"1","4562","4562.1"
126.8848745778,37.5469678562816,18,"1","4562","4562.1"
126.907584600749,37.5464093404188,1,"1","4563","4563.1"
126.907176074716,37.5460702537393,2,"1","4563","4563.1"
126.906695006669,37.5456729107763,3,"1","4563","4563.1"
126.906315890266,37.5453576318493,4,"1","4563","4563.1"
126.905737398662,37.5448798823008,5,"1","4563","4563.1"
126.904938432862,37.5442188338322,6,"1","4563","4563.1"
126.904481822778,37.5438463778082,7,"1","4563","4563.1"
126.90312998616,37.5427233835774,8,"1","4563","4563.1"
126.902827931764,37.5424747147363,9,"1","4563","4563.1"
126.902806771615,37.5424601574104,10,"1","4563","4563.1"
126.902789940803,37.5424518530706,11,"1","4563","4563.1"
126.902761343261,37.5424388569677,12,"1","4563","4563.1"
126.902729232968,37.5424255748804,13,"1","4563","4563.1"
126.902539740417,37.5423434236102,14,"1","4563","4563.1"
126.902524010375,37.5423341219222,15,"1","4563","4563.1"
126.902508741685,37.5423204045631,16,"1","4563","4563.1"
126.902483748626,37.5422936533295,17,"1","4563","4563.1"
126.902403397799,37.5422069290066,18,"1","4563","4563.1"
126.902336047571,37.5420568726266,19,"1","4563","4563.1"
126.902334335261,37.5420462246536,20,"1","4563","4563.1"
126.902334883848,37.5420381676274,21,"1","4563","4563.1"
126.90233802518,37.5420297904425,22,"1","4563","4563.1"
126.90234249481,37.5420188528878,23,"1","4563","4563.1"
126.902347609255,37.5420080916002,24,"1","4563","4563.1"
126.902358860673,37.5419883128104,25,"1","4563","4563.1"
126.902363340196,37.541978225115,26,"1","4563","4563.1"
126.902365148733,37.5419657407264,27,"1","4563","4563.1"
126.902364524603,37.5419575272181,28,"1","4563","4563.1"
126.902362746643,37.5419493532801,29,"1","4563","4563.1"
126.902356088063,37.5419375092087,30,"1","4563","4563.1"
126.90223666529,37.5417680040902,31,"1","4563","4563.1"
126.901544705324,37.5408875417267,32,"1","4563","4563.1"
126.900462128425,37.539514655577,33,"1","4563","4563.1"
126.900404694121,37.5394500941466,34,"1","4563","4563.1"
126.900153939753,37.5391776697138,35,"1","4563","4563.1"
126.900056623215,37.5390715146387,36,"1","4563","4563.1"
126.900040668342,37.5390539715636,37,"1","4563","4563.1"
126.900027070593,37.5390437453726,38,"1","4563","4563.1"
126.900012041123,37.5390351883233,39,"1","4563","4563.1"
126.899991405279,37.5390243353049,40,"1","4563","4563.1"
126.899822076428,37.5389493831076,41,"1","4563","4563.1"
126.899801877655,37.5389389221936,42,"1","4563","4563.1"
126.89978958662,37.5389309056368,43,"1","4563","4563.1"
126.899782731988,37.538924519551,44,"1","4563","4563.1"
126.899780862297,37.5389165992218,45,"1","4563","4563.1"
126.89978303326,37.5389039772368,46,"1","4563","4563.1"
126.899790324064,37.5388835176603,47,"1","4563","4563.1"
127.095941596727,37.610187144721,1,"1","4564","4564.1"
